CL,CLXBOXPS4,GT,CIRCUIT,TEMPS,Help1,Help2,Help3,POINTSCHRONO,POINTS CHRONO ENTIER
21,46,FCL PESCA,10,146855,0,0,1,4.5,2
6,17,CIPO37,10,145264,0,0,0,55,55
20,45,VRT SAITO666,10,146807,0,0,1,5,2
14,28,RCR-MORGAN_022,10,146091,0,0,1,20,10
27,63,VRT LECLERC,10,149791,0,0,0,0.94,0
23,40,WTG_ATLANTIDE,10,146586,1,0,1,8,2
3,10,FCT RAVEN,10,144943,0,0,0,75,75
8,20,NEO MUSHRA,10,145578,0,0,0,45,45
9,19,WD-DEADPOOL03,3,133678,0,0,1,55,27
11,16,WD-DEADPOOL03,6,139671,0,0,1,55,27
11,19,WD-DEADPOOL03,10,145551,0,0,1,40,20
37,69,BENJI27260,6,142231,1,1,1,0.91,0
9,42,EL MALE06,10,146733,0,0,1,40,20
4,5,ENOSIA-EnzoP,3,132267,0,0,1,100,50
11,34,MWW_Okiel17,3,134144,0,0,0,16,16
15,30,VRT_LECLERC16,10,146153,0,0,1,18,9
3,11,ENOSIA-LYKOS,3,133026,0,0,0,60,60
8,6,Enosia-Bw98,6,139043,0,0,1,85,42
6,2,Enosia-Bw98,10,144034,0,0,1,95,47
26,37,FREDSW87,10,146475,1,1,1,10,1
22,41,FREDSW87,6,140558,1,1,1,14,1
39,68,FREDSW87,3,135741,1,1,1,0.92,0
3,15,ENOSIA-LYKOS,6,139658,0,0,0,60,60
4,8,ENOSIA-LYKOS,10,144779,0,0,0,60,60
6,7,Enosia-Bw98,3,132721,0,0,1,95,47
24,61,lACANBASTOU,10,149162,0,0,0,2,2
27,72,lACANBASTOU,3,135901,0,0,0,0.9,0
2,10,ENOSIA-EnzoP,6,139170,0,0,0,65,65
1,1,ENOSIA-EnzoP,10,143988,0,0,0,100,100
13,35,PAH3006,3,134205,0,0,0,14,14
12,31,PAH3006,10,146227,0,0,0,16,16
12,35,PAH3006,6,140343,0,0,0,20,20
21,40,AEL22,6,140546,0,0,1,4.5,2
42,83,BENJI27260,3,137530,1,1,1,0.86,0
4,3,FF1CL-YOOPOOP,6,138882,0,0,1,100,50
10,10,FF1CL-YOOPOOP,3,132940,0,1,1,65,16
13,37,MWW_Okiel17,6,140386,0,0,0,16,16
9,23,MWW_Okiel17,10,145740,0,0,0,30,30
17,27,OVT  TALIA63,6,140055,0,0,1,18,9
15,28,OVT  TALIA63,3,133993,0,0,1,18,9
1,8,RCR-SEB_15,3,132890,0,0,0,85,85
1,7,RCR-SEB_15,6,139049,0,0,0,75,75
3,6,RCR-SEB_15,10,144449,0,0,0,65,65
33,53,GXB GEGEGAMING,3,135206,1,1,1,2.5,0
35,55,GXB GEGEGAMING,6,141158,1,1,1,1.5,0
